Step:284 Raw:193 Control:0.00 
Step:309 Raw:210 Control:-115.56 
Step:334 Raw:213 Control:-98.76 
Step:359 Raw:208 Control:-56.98 
Step:385 Raw:206 Control:-20.86 
Step:410 Raw:209 Control:-6.35 
Step:435 Raw:208 Control:-7.86 
Step:460 Raw:212 Control:-4.60 
Step:485 Raw:215 Control:-9.52 
Step:510 Raw:207 Control:-11.60 
Step:535 Raw:206 Control:3.21 
Step:560 Raw:201 Control:2.93 
Step:585 Raw:194 Control:7.00 
Step:610 Raw:186 Control:12.54 
Step:635 Raw:177 Control:17.18 
Step:660 Raw:172 Control:21.12 
Step:685 Raw:164 Control:17.60 
Step:710 Raw:158 Control:19.34 
Step:735 Raw:146 Control:18.07 
Step:760 Raw:135 Control:25.75 
Step:785 Raw:124 Control:29.52 
Step:811 Raw:121 Control:31.32 
Step:836 Raw:126 Control:20.86 
Step:861 Raw:119 Control:2.70 
Step:885 Raw:109 Control:9.28 
Step:910 Raw:101 Control:19.65 
Step:935 Raw:95 Control:22.87 
Step:960 Raw:90 Control:21.16 
Step:985 Raw:91 Control:18.44 
Step:1010 Raw:91 Control:8.41 
Step:1035 Raw:86 Control:3.75 
Step:1060 Raw:87 Control:8.93 
Step:1085 Raw:87 Control:4.19 
Step:1111 Raw:85 Control:2.10 
Step:1136 Raw:90 Control:4.09 
Step:1161 Raw:89 Control:-4.39 
Step:1186 Raw:89 Control:-1.47 
Step:1211 Raw:96 Control:-0.20 
Step:1235 Raw:89 Control:-9.66 
Step:1260 Raw:93 Control:4.08 
Step:1285 Raw:97 Control:-1.86 
Step:1310 Raw:98 Control:-7.05 
Step:1335 Raw:101 Control:-5.53 
Step:1360 Raw:105 Control:-6.93 
Step:1385 Raw:103 Control:-9.44 
Step:1410 Raw:105 Control:-2.39 
Step:1435 Raw:109 Control:-3.36 
Step:1460 Raw:110 Control:-7.56 
Step:1485 Raw:113 Control:-5.91 
Step:1510 Raw:116 Control:-7.31 
Step:1536 Raw:115 Control:-8.42 
Step:1561 Raw:116 Control:-3.32 
Step:1586 Raw:110 Control:-2.83 
Step:1611 Raw:119 Control:6.95 
Step:1636 Raw:113 Control:-8.21 
Step:1661 Raw:119 Control:2.48 
Step:1686 Raw:119 Control:-6.28 
Step:1711 Raw:119 Control:-4.42 
Step:1736 Raw:117 Control:-2.38 
Step:1761 Raw:116 Control:1.59 
Step:1786 Raw:115 Control:2.50 
Step:1811 Raw:114 Control:2.70 
Step:1837 Raw:110 Control:2.75 
Step:1862 Raw:113 Control:7.06 
Step:1887 Raw:106 Control:-0.13 
Step:1912 Raw:103 Control:9.10 
Step:1937 Raw:103 Control:10.07 
Step:1963 Raw:103 Control:5.54 
Step:1988 Raw:99 Control:2.58 
Step:2013 Raw:99 Control:6.86 
Step:2038 Raw:96 Control:4.22 
